Tr_Name,Park,Park_Tourism_Region,Visitor_State,Last_12_Months,Prior_12_Months,Pct_Change,Difference
Australia's North West,Currawinya National Park,Outback,WA,0,2,-100,-2
Australia's North West,Daintree National Park,Tropical North Queensland,WA,0,36,-100,-36
Australia's North West,Daintree National Park (CYPAL),Tropical North Queensland,WA,9,0,100,9
Australia's North West,Danbulla National Park,Tropical North Queensland,WA,29,8,262.5,21
Australia's North West,Deepwater National Park,Central Queensland,WA,7,8,-12.5,-1
Australia's North West,Diamantina National Park,Outback,WA,4,10,-60,-6
Australia's North West,Dinden National Park,Tropical North Queensland,WA,3,2,50,1
Australia's North West,Eungella National Park,Mackay,WA,19,3,533.3333333,16
Australia's North West,Eurimbula National Park,Central Queensland,WA,6,3,100,3
Australia's North West,Girramay National Park,Tropical North Queensland,WA,16,14,14.28571429,2
Australia's North West,Girraween National Park,Darling Downs,WA,1,0,100,1
Australia's North West,Girringun National Park,Tropical North Queensland,WA,18,4,350,14
Australia's North West,Heathlands Resources Reserve,Tropical North Queensland,WA,4,0,100,4
Australia's North West,Hell Hole Gorge National Park,Outback,WA,0,1,-100,-1
Australia's North West,"Hinchinbrook Island NP, Thorsborne Trail",Tropical North Queensland,WA,0,6,-100,-6
Australia's North West,Idalia National Park,Outback,WA,0,6,-100,-6
Australia's North West,Imbil State Forest,"Launceston, Tamar and the North",WA,0,11,-100,-11
Australia's North West,Inskip Peninsula Recreation Area,Sunshine Coast,WA,11,37,-70.27027027,-26
Australia's North West,Isla Gorge National Park,Central Queensland,WA,3,0,100,3
Australia's North West,Jardine River National Park,Tropical North Queensland,WA,48,5,860,43
Australia's North West,Jimna State Forest,"Launceston, Tamar and the North",WA,4,0,100,4
Australia's North West,K'gari (Fraser Island) Recreation Area,Fraser Coast,WA,107,104,2.884615385,3
Australia's North West,Koombooloomba National Park and Conservation Park,Tropical North Queensland,WA,4,2,100,2
Australia's North West,Kutini-Payamu (Iron Range) National Park (CYPAL),Tropical North Queensland,WA,13,6,116.6666667,7
Australia's North West,Lochern National Park,Outback,WA,0,4,-100,-4
Australia's North West,Main Range National Park,Brisbane,WA,3,0,100,3
Australia's North West,Mariala National Park,Outback,WA,0,1,-100,-1
Australia's North West,Oyala Thumotang National Park (CYPAL),Tropical North Queensland,WA,9,0,100,9
Australia's North West,Paluma Range National Park,Townsville,WA,32,13,146.1538462,19
Australia's North West,Porcupine Gorge National Park,Outback,WA,9,10,-10,-1
Australia's North West,Rinyirru (Lakefield) National Park (CYPAL),Tropical North Queensland,WA,42,5,740,37
Australia's North West,Speewah Conservation Park,Tropical North Queensland,WA,3,17,-82.35294118,-14
Australia's North West,Springbrook National Park,Gold Coast,WA,1,12,-91.66666667,-11
Australia's North West,Sundown National Park,Darling Downs,WA,2,0,100,2
Australia's North West,Sunshine Coast Hinterland Great Walk,Sunshine Coast,WA,0,2,-100,-2
Australia's North West,Tully Gorge National Park,Tropical North Queensland,WA,11,4,175,7
Australia's North West,Welford National Park,Outback,WA,0,6,-100,-6
Australia's North West,Whitsunday Islands National Park,Whitsundays,WA,0,8,-100,-8
Australia's North West,Wongi State Forest,Fraser Coast,WA,2,4,-50,-2
Australia's North West,Wooroonooran National Park,Tropical North Queensland,WA,10,0,100,10
Australia's South West,Abergowrie State Forest,Townsville,WA,7,6,16.66666667,1
Australia's South West,Amamoor State Forest and Forest Reserve,Sunshine Coast,WA,6,4,50,2
Australia's South West,Beerburrum and Beerwah State Forests,Sunshine Coast,WA,36,36,0,0
Australia's South West,Benarkin State Forest,Darling Downs,WA,4,0,100,4
Australia's South West,Blackbraes National Park,Tropical North Queensland,WA,0,4,-100,-4
Australia's South West,Blackdown Tableland National Park,Central Queensland,WA,17,6,183.3333333,11
Australia's South West,Bladensburg National Park,Outback,WA,2,0,100,2
Australia's South West,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,WA,0,41,-100,-41
Australia's South West,Bowling Green Bay National Park,Townsville,WA,0,1,-100,-1
Australia's South West,Bribie Island Recreation Area,Brisbane,WA,6,2,200,4
Australia's South West,Brooyar State Forest,"Launceston, Tamar and the North",WA,8,0,100,8
Australia's South West,Bunya Mountains National Park,Darling Downs,WA,33,41,-19.51219512,-8
Australia's South West,Burrum Coast National Park,Fraser Coast,WA,28,7,300,21
Australia's South West,Byfield Conservation Park,Central Queensland,WA,0,5,-100,-5
Australia's South West,Byfield National Park,Central Queensland,WA,0,7,-100,-7
Australia's South West,Byfield State Forest,Central Queensland,WA,41,21,95.23809524,20
Australia's South West,Cape Hillsborough National Park,Mackay,WA,17,16,6.25,1
Australia's South West,Cape Melville National Park (CYPAL),Tropical North Queensland,WA,0,29,-100,-29
Australia's South West,Cape Palmerston National Park,Mackay,WA,0,6,-100,-6
Australia's South West,Capricornia Cays National Park,Central Queensland,WA,7,48,-85.41666667,-41
