Month of Month of Booking Date,Park,Park_Tourism_Region,Tr_Name,Year of Month of Booking Date,Visitors,month_year
April,Total,Sunshine Coast,Eyre Peninsula,2022,4,Apr-22
April,Total,Fraser Coast,Eyre Peninsula,2022,15,Apr-22
April,Total,Darling Downs,Eyre Peninsula,2022,8,Apr-22
April,Total,Whitsundays,Destination Perth,2022,6,Apr-22
April,Total,Tropical North Queensland,Destination Perth,2022,84,Apr-22
April,Total,Townsville,Destination Perth,2022,8,Apr-22
April,Total,Sunshine Coast,Destination Perth,2022,27,Apr-22
April,Total,Outback,Destination Perth,2022,29,Apr-22
April,Total,Mackay,Destination Perth,2022,11,Apr-22
April,Total,"Launceston, Tamar and the North",Destination Perth,2022,2,Apr-22
April,Total,Gold Coast,Destination Perth,2022,14,Apr-22
April,Total,Fraser Coast,Destination Perth,2022,191,Apr-22
April,Total,Darling Downs,Destination Perth,2022,3,Apr-22
April,Total,Central Queensland,Destination Perth,2022,22,Apr-22
April,Total,Tropical North Queensland,Darwin,2022,46,Apr-22
April,Total,Sunshine Coast,Darwin,2022,21,Apr-22
April,Total,Mackay,Darwin,2022,3,Apr-22
April,Total,Gold Coast,Darwin,2022,2,Apr-22
April,Total,Fraser Coast,Darwin,2022,68,Apr-22
April,Total,Darling Downs,Darwin,2022,24,Apr-22
April,Total,Central Queensland,Darwin,2022,22,Apr-22
April,Total,Brisbane,Darwin,2022,8,Apr-22
April,Total,Tropical North Queensland,Clare Valley,2022,6,Apr-22
April,Total,Sunshine Coast,Clare Valley,2022,4,Apr-22
April,Total,Outback,Clare Valley,2022,4,Apr-22
April,Total,"Launceston, Tamar and the North",Clare Valley,2022,8,Apr-22
April,Total,Fraser Coast,Clare Valley,2022,6,Apr-22
April,Total,Darling Downs,Clare Valley,2022,6,Apr-22
April,Total,Central Queensland,Clare Valley,2022,2,Apr-22
April,Total,Tropical North Queensland,Central NSW,2022,68,Apr-22
April,Total,Townsville,Central NSW,2022,8,Apr-22
April,Total,Sunshine Coast,Central NSW,2022,11,Apr-22
April,Total,Outback,Central NSW,2022,8,Apr-22
April,Total,Mackay,Central NSW,2022,6,Apr-22
April,Total,Gold Coast,Central NSW,2022,3,Apr-22
April,Total,Fraser Coast,Central NSW,2022,128,Apr-22
April,Total,Darling Downs,Central NSW,2022,5,Apr-22
April,Total,Central Queensland,Central NSW,2022,21,Apr-22
April,Total,Brisbane,Central NSW,2022,6,Apr-22
April,Total,Tropical North Queensland,Central Murray,2022,28,Apr-22
April,Total,Sunshine Coast,Central Murray,2022,6,Apr-22
April,Total,Fraser Coast,Central Murray,2022,50,Apr-22
April,Total,Central Queensland,Central Murray,2022,12,Apr-22
April,Total,Tropical North Queensland,Central Highlands,2022,5,Apr-22
April,Total,Sunshine Coast,Central Highlands,2022,14,Apr-22
April,Total,Central Queensland,Central Highlands,2022,10,Apr-22
April,Total,Tropical North Queensland,Central Coast,2022,75,Apr-22
April,Total,Townsville,Central Coast,2022,2,Apr-22
April,Total,Sunshine Coast,Central Coast,2022,119,Apr-22
April,Total,Outback,Central Coast,2022,37,Apr-22
April,Total,Mackay,Central Coast,2022,11,Apr-22
April,Total,"Launceston, Tamar and the North",Central Coast,2022,3,Apr-22
April,Total,Gold Coast,Central Coast,2022,2,Apr-22
April,Total,Fraser Coast,Central Coast,2022,267,Apr-22
April,Total,Darling Downs,Central Coast,2022,7,Apr-22
April,Total,Central Queensland,Central Coast,2022,57,Apr-22
April,Total,Brisbane,Central Coast,2022,21,Apr-22
April,Total,Tropical North Queensland,Capricorn,2022,352,Apr-22
April,Total,Townsville,Capricorn,2022,35,Apr-22
April,Total,Sunshine Coast,Capricorn,2022,145,Apr-22
April,Total,Outback,Capricorn,2022,67,Apr-22
April,Total,Mackay,Capricorn,2022,310,Apr-22
April,Total,"Launceston, Tamar and the North",Capricorn,2022,20,Apr-22
April,Total,Fraser Coast,Capricorn,2022,652,Apr-22
April,Total,Darling Downs,Capricorn,2022,21,Apr-22
April,Total,Central Queensland,Capricorn,2022,2027,Apr-22
April,Total,Bundaberg,Capricorn,2022,60,Apr-22
April,Total,Brisbane,Capricorn,2022,15,Apr-22
April,Total,Whitsundays,Capital Country,2022,4,Apr-22
April,Total,Tropical North Queensland,Capital Country,2022,61,Apr-22
April,Total,Townsville,Capital Country,2022,2,Apr-22
April,Total,Sunshine Coast,Capital Country,2022,21,Apr-22
April,Total,Outback,Capital Country,2022,12,Apr-22
April,Total,Mackay,Capital Country,2022,6,Apr-22
April,Total,Fraser Coast,Capital Country,2022,279,Apr-22
April,Total,Central Queensland,Capital Country,2022,24,Apr-22
April,Total,Brisbane,Capital Country,2022,32,Apr-22
April,Total,Whitsundays,Canberra,2022,58,Apr-22
April,Total,Tropical North Queensland,Canberra,2022,152,Apr-22
April,Total,Townsville,Canberra,2022,13,Apr-22
April,Total,Sunshine Coast,Canberra,2022,40,Apr-22
April,Total,Outback,Canberra,2022,20,Apr-22
April,Total,Mackay,Canberra,2022,4,Apr-22
April,Total,Gold Coast,Canberra,2022,5,Apr-22
April,Total,Fraser Coast,Canberra,2022,236,Apr-22
April,Total,Darling Downs,Canberra,2022,19,Apr-22
April,Total,Central Queensland,Canberra,2022,44,Apr-22
April,Total,Brisbane,Canberra,2022,39,Apr-22
April,Total,Tropical North Queensland,Bundaberg,2022,47,Apr-22
April,Total,Townsville,Bundaberg,2022,38,Apr-22
April,Total,Sunshine Coast,Bundaberg,2022,186,Apr-22
April,Total,Outback,Bundaberg,2022,52,Apr-22
April,Total,Mackay,Bundaberg,2022,2,Apr-22
April,Total,"Launceston, Tamar and the North",Bundaberg,2022,33,Apr-22
April,Total,Gold Coast,Bundaberg,2022,6,Apr-22
April,Total,Fraser Coast,Bundaberg,2022,446,Apr-22
April,Total,Darling Downs,Bundaberg,2022,60,Apr-22
April,Total,Central Queensland,Bundaberg,2022,429,Apr-22
April,Total,Bundaberg,Bundaberg,2022,40,Apr-22
April,Total,Brisbane,Bundaberg,2022,16,Apr-22
April,Total,Whitsundays,Brisbane,2022,148,Apr-22
April,Total,Tropical North Queensland,Brisbane,2022,1226,Apr-22
