Suburb,Month of Dates,Occupancy Percent
Cashmere,Mar-23,64.46
Cashmere,Feb-23,62.86
Cashmere,Jan-23,75.2
Cashmere,Dec-22,69
Cashmere,Nov-22,67.57
Cashmere,Oct-22,62.9
Cashmere,Sep-22,60
Cashmere,Aug-22,93.55
Cashmere,Jul-22,91.94
Cashmere,Jun-22,98.33
Cashmere,May-22,85.48
Cashmere,Apr-22,81.67
Cashmere,Mar-22,88.71
Cashmere,Feb-22,94.64
Cashmere,Jan-22,79.03
Cashmere,Dec-21,82.26
Cashmere,Nov-21,70
Cashmere,Oct-21,56.45
Cashmere,Sep-21,58.33
Cashmere,Aug-21,79.03
Cashmere,Jul-21,78.33
Cedar Creek,Jul-23,100
Cedar Creek,Jun-23,100
Cedar Creek,May-23,100
Cedar Creek,Apr-23,93.33
Cedar Creek,Mar-23,100
Cedar Creek,Feb-23,100
Cedar Creek,Jan-23,100
Cedar Creek,Dec-22,100
Cedar Creek,Nov-22,80
Cedar Creek,Oct-22,93.55
Cedar Creek,Sep-22,100
Cedar Creek,Aug-22,95.45
Clear Mountain,Jul-23,80.52
Clear Mountain,Jun-23,82.83
Clear Mountain,May-23,79.57
Clear Mountain,Apr-23,93.33
Clear Mountain,Mar-23,68.82
Clear Mountain,Feb-23,86.9
Clear Mountain,Jan-23,88.17
Clear Mountain,Dec-22,93.33
Clear Mountain,Nov-22,77.53
Clear Mountain,Oct-22,90.24
Clear Mountain,Sep-22,83.72
Clear Mountain,Aug-22,76.92
Clear Mountain,Jul-22,87.37
Clear Mountain,Jun-22,87.72
Clear Mountain,May-22,79.23
Clear Mountain,Apr-22,54.67
Clear Mountain,Mar-22,53.75
Clear Mountain,Feb-22,63.1
Clear Mountain,Jan-22,48.65
Clear Mountain,Dec-21,38.29
Clear Mountain,Nov-21,22.22
Clear Mountain,Oct-21,45.7
Clear Mountain,Sep-21,38.89
Clear Mountain,Aug-21,16.67
Clear Mountain,Jul-21,56.58
Clontarf,Jul-23,74.45
Clontarf,Jun-23,78.75
Clontarf,May-23,80.83
Clontarf,Apr-23,82.39
Clontarf,Mar-23,87.18
Clontarf,Feb-23,84.44
Clontarf,Jan-23,71.01
Clontarf,Dec-22,71.81
Clontarf,Nov-22,77.75
Clontarf,Oct-22,80.54
Clontarf,Sep-22,81.42
Clontarf,Aug-22,93.35
Clontarf,Jul-22,86.36
Clontarf,Jun-22,87.69
Clontarf,May-22,89.03
Clontarf,Apr-22,96.75
Clontarf,Mar-22,88.68
Clontarf,Feb-22,83.48
Clontarf,Jan-22,92.86
Clontarf,Dec-21,73
Clontarf,Nov-21,67.37
Clontarf,Oct-21,53.22
Clontarf,Sep-21,54.68
Clontarf,Aug-21,48.99
Clontarf,Jul-21,61.88
Closeburn,Jul-23,60.93
Closeburn,Jun-23,60.27
Closeburn,May-23,58
Closeburn,Apr-23,73.33
Closeburn,Mar-23,67.74
Closeburn,Feb-23,61.61
Closeburn,Jan-23,69.15
Closeburn,Dec-22,67.86
Closeburn,Nov-22,78
Closeburn,Oct-22,81.91
Closeburn,Sep-22,90
Closeburn,Aug-22,91.94
Closeburn,Jul-22,94.35
Closeburn,Jun-22,90
Closeburn,May-22,91.94
Closeburn,Apr-22,95.83
Closeburn,Mar-22,86.29
