Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Hobart and the South,Fraser Coast,"1,730","1,754",1.387283237
Hobart and the South,Gold Coast,104,68,-34.61538462
Hobart and the South,"Launceston, Tamar and the North",68,92,35.29411765
Hobart and the South,Mackay,234,196,-16.23931624
Hobart and the South,Outback,400,532,33
Hobart and the South,Queensland Country,0,8,100
Hobart and the South,Sunshine Coast,"1,010","1,556",54.05940594
Hobart and the South,Townsville,494,326,-34.00809717
Hobart and the South,Tropical North Queensland,"2,004","2,156",7.584830339
Hobart and the South,Whitsundays,112,74,-33.92857143
Hunter,All,"41,834","33,278",-20.45226371
Hunter,Brisbane,332,356,7.228915663
Hunter,Bundaberg,54,62,14.81481481
Hunter,Central Queensland,"2,992","2,436",-18.5828877
Hunter,Darling Downs,"1,050",868,-17.33333333
Hunter,Fraser Coast,"23,930","19,138",-20.02507313
Hunter,Gold Coast,166,254,53.01204819
Hunter,"Launceston, Tamar and the North",126,194,53.96825397
Hunter,Mackay,536,422,-21.26865672
Hunter,Outback,"1,162","1,072",-7.745266781
Hunter,Queensland Country,0,8,100
Hunter,Sunshine Coast,"4,342","4,208",-3.086135421
Hunter,Townsville,906,826,-8.830022075
Hunter,Tropical North Queensland,"5,760","3,262",-43.36805556
Hunter,Whitsundays,478,172,-64.0167364
Kangaroo Island,All,102,236,131.372549
Kangaroo Island,Central Queensland,4,30,650
Kangaroo Island,Darling Downs,0,12,100
Kangaroo Island,Fraser Coast,0,2,100
Kangaroo Island,Gold Coast,0,14,100
Kangaroo Island,Mackay,0,14,100
Kangaroo Island,Outback,0,26,100
Kangaroo Island,Sunshine Coast,38,0,-100
Kangaroo Island,Townsville,0,12,100
Kangaroo Island,Tropical North Queensland,60,118,96.66666667
Kangaroo Island,Whitsundays,0,8,100
Katherine Daly,All,472,440,-6.779661017
Katherine Daly,Brisbane,58,6,-89.65517241
Katherine Daly,Bundaberg,0,2,100
Katherine Daly,Central Queensland,2,56,2700
Katherine Daly,Darling Downs,40,10,-75
